Refid	Author	Title	content
1568	J. Zahradnik	REVISION OF THE ALEURODES OF CZECHOSLOVAKIA STERNORRHYNCHA ALEYRODINEA III	"In this third and final part of the Revision fo Czech white-flies, the species of the genera Bemisia QUAINT. and BAKER, Asterobemisia TREHAN, Aleyrodes LATREILLE, Japaneyrodes ZAHRADNIK and Trialeurodes COCKERELL are revised. Bemisia silvatica DANCIG is recorded for the first time from Robinia pseudoacacia in Czechoslovakia. Asterobemisia avellanae (SIGNORET) and Asterobemisia carpini (KOCH) are considered as two different species. the key for determination of genera is added. Twenty two species of white-flies have been found in the country, inclusively Trialeurodes vaporariorum WESTW. and Pealius azaleae (BAK. and MOL. both greenhouse species."
121	"M. H. Amid-Motlagh, H. Massumi, J. Heydarnejad, M. Mehrvar and M. R. Hajimorad"	Nucleotide sequence analyses of coat protein gene of peanut stunt virus isolates from alfalfa and different hosts show a new tentative subgroup from Iran	"Alfalfa cultivars grown in 14 provinces in Iran were surveyed for the relative incidence of peanut stunt virus (PSV) during 2013-2016. PSV were detected in 41.89% of symptomatic alfalfa samples and a few alternate hosts by plate-trapped antigen ELISA. Among other hosts tested only Chenopodium album, Robinia pseudoacacia and Arachis hypogaea were found naturally infected with PSV. Twenty five isolates of PSV were chosen for biological and molecular characterizations based on their geographical distributions. There was not any differences in experimental host range of these isolates; however, variation in systemic symptoms observed on Nicotiana glutinosa. Total RNA from 25 of viral isolates were subjected to reverse transcription polymerase chain reaction analysis using primers directed against coat protein (CP) gene. The CP genes of 25 Iranian PSV isolates were either 651 or 666 nucleotides long. The nucleotide and amino acid identities for CP gene among Iranian PSV isolates were 79.3-99.7 and 72-100%, respectively. They also shared between 67.4 and 82.4% pairwise nucleotide identity with other PSV isolates reported elsewhere in the world. Phylogenetic analyses of CP gene sequences showed formation of a new subgroup comprising only the Iranian isolates. Natural infection of a few alternate hosts with PSV is reported for the first time from Iran."
934	S. P. Verma and C. L. Dinabandhoo	Scale insects (Homoptera: Diaspididae) on short rotation forest tree species	"A survey was carried out during the years 1998-2000 to find out the distribution and host range of armoured scales associated with fruit and other trees of economic importance in Himachal Pradesh. Four scale insects were found to infest short rotation tree species. The infestation of diaspidids, Aonidiella aurantii (Maskell) and A. orientalis (Newstead) were recorded on Bauhinia variegata L. at Ropari (Sarkaghat) Morganella longispina (Morgan) on Celtis australis and Pinnaspis aspidistrae (Signoret) on Robinia pseudoacacia L. at Nauni (Solan). The female body of A. aurantii was kidney shaped, A. orientate was ovate, M. longispina was oval and P. aspidistrae was elongate. The scale insects M. longispina and P. aspidistrae are recorded for the first time in Himachal Pradesh."
873	M. Skuhrava and V. Skuhravy	"Gall midge fauna (Diptera, Cecidomyiidae) of South Tyrol: 7. Gall midges of the Schlern region in the Western Dolomite Alps"	"During investigations in the Schlern region in the Western Dolomite Alps in 2006, 94 gall midge species were found at 12 localities situated at altitudes from 1000m up to 2518m a.s.l. Among them, Aprionus confusus, Arnoldiola gemmae, Dasineura spadicea, Dasineura symphyti, Harmandiola pustulans, Iteomyia major, Lestodiplosis holstei and Resseliella ingrica are new records for the fauna of South Tyrol and Italy and Asphondylia cytisi, Contarinia tiliarum and Loewiola centaureae are new records for South Tyrol. The known gallmidge fauna of South Tyrol contains now 254 species. An annotated list of species found in 2006 is given with details of collection sites as well as biological data. The gall midges are associated with 72 host plant species. The average number per each locality is 15,6 species (ranging from 4 to 26). The number of gall midge species decreases with increasing altitude. Contarinia loti, Dasineura daphnes, D.phyteumatis, Dasineura sp. on Galium anisophyllum, Geocrypta campanulae, Jaapiella veronicae, Macrolabis achilleae, Neomikiella lychnidis and Oligotrophus juniperinus were found in alpine zone at altitudes from 2300 to 2518m. Dasineura rosae on Rosa-species and Macrolabis heraclei on Heracleum sphondylium were the most abundantly occurring species during investigations.A total of 34 species (36 %) have an Eurosiberian and 58 species (62 %) an European distribution. Only Asphondylia verbasci on Verbascum nigrum, is known as a Submediterranean species. Obolodiplosis robiniae on Robinia pseudoacacia, native in Nearctic Region, is alien and an invasive species in South Tyrol."
1265	I. A. Moglan and V. Moglan	"The efficiency of parasitoids (Hymenoptera, Chalcidoidea) to decrease the number of the coccid Parthenolecanium corni Bouche (Homoptera, Coccidae) in southern Moldavia"	"Surveys were carried out during 1978-1984 at Malu Alb, Galati district, Romania, to investigate parasitoids of Parthenolecanium corni on Robinia pseudoacacia. Pachyneuron concolor [P. muscarum], Blastothrix longipennis, Metaphycus insidiosus, M. stagnarum, Tetrastichus trjapitzini, Tetrastichus sp., Coccophagus lycimnia and Marietta picta were found. Parasitism in larvae varied between 10.1 (1982) and 71.8% (1979), and in females between 32.3 (1984) and 87.1% (1979)."
1220	H. Pospieszny and N. Borodynko	Methods of detection and identification of tomato black ring nepovirus	"In 1998, 14 isolates of tomato black ring nepovirus (TBRV) from tomato, cucumber and Robinia were isolated. TBRV identification was based on host range, symptomatology, electron microscopy, purification and serology. Serological methods are the most useful for TBRV detection. Cucumber and Robinia plants are new natural hosts for TBRV in Poland."
1823	P. D. Marchenko	TRICHOCLADIA-PSEUDOACACIAE NEW-SPECIES OF POWDERY MILDEW FUNGUS	"The diagnosis, description, locality and dates of collections are given for a powdery mildew fungus, T. pseudoacaciae sp. nov. from the Transcarpathian region of the Ukrainian SSR, USSR. The occurrence of Erysiphe communis Grev. f. robiniae (Tschern.) Golov. (syn. T. robiniae Tschern) is mentioned. A comparative characteristic is given for the powdery mildew fungi found on Robinia pseudoacacia."
1483	"Y. C. Dong, J. S. Wang and C. Y. Du"	Observations on Bruchophagus ononis	"In the central and southern Shandong Province, China, there were 2 generations of Bruchophagus ononis each year. The first generation damaged the seeds of Robinia pseudoacacia with minor losses, and the second damaged up to 95% of the seeds of Sophora japonica. Its eclosion period corresponded with the flowering periods of the hosts. The mature larvae of the second generation overwintered inside the seeds of S. japonica. Pest morphology is described and illustrated. Chemical control of the adult was also tested."
1048	"K. J. Huisman, J. C. Koster, E. J. van Nieukerken and S. A. Ulenberg"	Microlepidoptera in The Netherlands in 2000	"In this 13th annual report four species of moth are recorded for the first time from The Netherlands: Phyllonorycter robiniella, the expanding leafminer found since 1998 on black locust (Robinia pseudoacacia) and now recorded in three provinces; in 1999 one specimen of the Mediterranean tineid, Crassicornella agenjoi, was found in Limburg, probably accidentally imported; the two Gelechiidae Carpatolechia aenigma and Caryocolum proxima were found while re-examining older material, the former amongst Teleiodes paripunctella and the latter amongst C. blandulella; one specimen of C. aenigma was reared from Quercus, its first published host record. In total we report 93 species, including 22 new provincial records. Other interesting records are those of Coleophora albicosta, Carpatolechia fugacella (second record), Gelechia muscosella (fifth), Cochylis pallidana (fifth and sixth), Endothenia gentianaeana (first records since 1942), E. oblongana, E. ustulana (first records since 1965), Epinotia signatana (additions to the recent first record), Epiblema turbidana, Pammene spiniana (second Dutch specimen, first since the 19th century) and the exotic Amyelois transitella, reared from a walnut. Leafmines of the Chrysoesthia-species are illustrated as an aid for recognition."
986	Y. Dai and Q. Gao	A new heart rot on Robinia pseudoacacia in Northern China	"A new heart rot pathogen, Perenniporia robiniophila, is reported occurring on Robinia pseudoacacia trees in Beijing and Dalian, Liaoning, China, which causes a white rot in the heartwood resulting to death. An account on the symptoms, damage and distribution of this new disease is given based on field investigations and an illustrated description is presented in detail using collected specimen material."
373	A. Chalanska and G. Labanowski	THE EFFECT OF EDAPHIC FACTORS ON THE SIMILARITY OF PARASITIC NEMATODES IN THE SOIL SAMPLED IN NURSERIES OF ORNAMENTAL TREES AND SHRUBS	"The largest faunistic similarity of nematodes was found in soils sampled in coniferous nurseries where arborvitae (Thuja occidentalis - Cupressaceae), spruces (Picea spp. - Pinaceae) and pines (Pinus spp. - Pinaceae) were grown. In soil sampled from deciduous tree and shrub nurseries, similar species composition of parasitic nematodes was found in stands of oaks (Quercus spp. - Fagaceae), black locusts (Robinia pseudoacacia - Fabaceae) and maples (Acer spp. - Sapindaceae). In soils, especially the light and medium, from stands of coniferous and deciduous trees and shrubs, Aphelenchus avenae was often isolated. Bitylenchus dubius occurred in both types of nurseries, particularly in light soils. The largest faunistic similarities between nematodes isolated from places of growth of coniferous and deciduous plants were recorded in soils of loamy sand and sandy loam. The most abundant nematode species and the greatest similarity in species of plant parasitic nematodes were observed in soils with neutral pH or slightly acidic. Aphelenchus avenae was found in soil samples collected from both coniferous and deciduous plants, with no relation to soil acidity."
1497	C. Sidor and I. Jodal	THE POLYHEDRAL VIRUS DISEASE OF GYPSY MOTH PORTHETRIA-DISPAR IN ACACIA FOREST BAGREMARA YUGOSLAVIA INTENSITY OF THE DISEASE AND HISTOPATHOLOGICAL INVESTIGATIONS	The data in this article represent the investigations of the nuclear polyhedral virus diseases (NPV) of gypsy moth (Porthetria dispar L.) from acacia forest in which the larvae are feeding with acacia leaves which is classified as less suitable food for this insect. The nuclear polyhedral virus disease (NPV) of the gypsy moth had been found every year during ten years of the investigations. The first pathological changes were observed in the cells nuclei of the infected tissues. Agglomeration of the chromatin and formation of the dark stained virogenic stroma from which the rod shaped virions are derived. In the cytoplasm near nuclear membrane of the infected cells numerous mitochondria were collected which suggest greater activity of the cells for producing the elements necessary for composition of the virus. In the nuclear numbers virions appeared which are grouped in the bundles and rounded by a common membrane. Around the virus bundles the protein material is accumulated making inclusions in the polyhedral shape. The polyhedra are growing in size and numbers and completely fill the nucleus which membrane under press become close to the cell membrane. Both membranes undergoing pathological changes are breaking and the polyhedra are liberated and mixed with remnants of the tissue. Breaking of the very fragile skin of the diseased caterpillars the polyhedral bodies are flowing out and contaminated leaves on which still the healthy caterpillars are feeding and become infected.
1402	S.-I. Yoshimatsu	"Lepidopterous insects associated with cankers of the Japanese pagoda tree, Sophora japonica caused by rust fungus, Uromyces truncicola"	"Eight species of Lepidoptera were found on cankers of Sophoral japonica L., of which three species are presently unidentified. Among them Decadarchis atririvis MEYRICK and Brachmia sp. were dominant and these two species sometimes fed on the bark of S. japonica which did not have cankers. The canker is considered to be one of the primary hosts and a suitable refuge for them. Further study revealed that three of the associated species caused damage to the bark of Robinia psuedo-Acacia L. The other Lepidopteran species discussed are D. sphenoschista, D. contributa, Promalactis suzukiella, Cosmopterix sp. and Labdia semicoccinea."
1446	P. M. Kirk and C. A. B. I. Uk	Nigrospora sphaerica. Descriptions of Fungi and Bacteria	"A description is provided for Nigrospora sphaerica. Information is included on the disease caused by the organism, its transmission, geographical distribution, and hosts. HOSTS: Abelmoschus, Acacia, Acropera, Album, Ananas, Anthurium, Amaranthus, Andropogon, Arachis, Aralia, Araucaria, Areca, Argemone, Artocarpus, Arundinaria, Asparagus, Axonopus, Bambusa, Banhinia, Bridelia, Brassica, Cajanus, Calamus, Calotropis, Camellia, Capsicum, Cardamomum, Carex, Carica, Coriandrum, Cenchrus, Centrosema, Chasmopodium, Chloris, Cicer, Cinnamomum, Citrullus, Citrus, Cocos, Coffea, Coix, Cola, Colea, Coriandrum, Crotalaria, Cucumis, Culcasia, Cupressus, Cymbopogon, Cyperus, Dianthus, Dichanthium, Dioscorea, Elaeis, Emblica, Erianthus, Eriobotrya, Eucalyptus, Euphorbia, Feronia, Ficus, Fragaria, Gladiolus, Glycine, Gomphrena, Gossypium, Hevea, Hibiscus, Hordeum, Hydrangea, Hymantrudae, Hyparrhenia, Ipomoea, Jatropha, Lactuca, Luffa, Lycopersicon, Macadamia, Mormodica, Morus, Lathyrus, Malus, Mangifera, Musa, Nicotiana, Neomarica, Nephelium, Nothofagus, Oncidium, Ophiuros, Oryza, Oxytenanthera, Panicum, Papaver, Pelargonium, Pennisetum, Pueraria, Phalaenopsis, Phaseolus, Phragmites, Physalis, Pinus, Piper, Pistia, Populus, Prunus, Pseudotsuga, Psidium, Psophocarpus, Pyrethrum, Raphanus, Ricinus, Robinia, Rosa, Rottboellia, Saccharum, Salvia, Shorea, Solanum, Sorghum, Sporobolus, Sphenoclea, Stevia, Stigmaphyllon, Strychnos, Tabebuia, Tabemaemontana, Theobroma, Trichosanthes, Trigonella, Triticum, Vicia, Vitex, Xanthosoma, Zea, Zizyphus; also from air, animals (including man and Ceroplastus), soil and plant debris, and stored foods. DISEASE: None as a primary pathogen of plants; frequently encountered as a secondary invader or as a saprophyte. Associated with 'squirter' and 'black end' disease of banana. GEOGRAPHICAL DISTRIBUTION: AFRICA: Cameroon, Egypt, Ethiopia, Ghana, Guinea, Kenya, Madagascar, Malawi, Mauritius, Mozambique, Nigeria, Seychelles, Sierra Leone, South Africa, Spain (Canary Islands), Sudan, Tanzania, Togo, Uganda, Zambia, Zimbabwe. ASIA: Bangladesh, Brunei, Burma, Hong Kong, India, Indonesia, Iraq, Nepal, Pakistan, Malaysia (Peninsular Malaysia, Sabah), Philippines, Sarawak, Sri Lanka, Syria. AUSTRALASIA & OCEANIA: Australia, Fiji, Guadalcanal, New Zealand, Norfolk Islands, Papua New Guinea, Tonga. EUROPE: Italy, Turkey, UK. NORTH AMERICA: Canada, USA. CENTRAL AMERICA & WEST INDIES: Cuba, Honduras, Jamaica, Trinidad, Windward Islands. SOUTH AMERICA: Argentina, Bolivia, Brazil, Chile, Peru, Venezuela. TRANSMISSION: By unknown means."
1718	"S. M. Francis, A. M. Berrie and C. A. B. I. Uk"	Peronospora cytisi. Descriptions of Fungi and Bacteria	"A description is provided for Peronospora cytisi. Information is included on the disease caused by the organism, its transmission, geographical distribution, and hosts. HOSTS: Laburnum alpinum, L. anagyroides; Robinia pseudacacia (fide Lindtner, 1957, but not confirmed by cross inoculation). DISEASE: Downy mildew of laburnum. The disease is most severe on young seedlings about 6-8 inches high. Symptoms are first seen on the upper surface of the leaves as pale yellow spots, these areas rapidly become brown, dead and brittle. The down, which is greyish brown, develops in a dense felt on the undersurface of these spots. The infected leaves may become completely withered and drop off and the seedlings then soon die. Infection of older plants has been reported by Magnus (1892) who described a single shrub (no indication of size given) with many leaves fallen and the remainder with numerous spots. Berlese (1903) records that in older plants the parasite develops especially in the upper leaves but the plants are not killed. The following year they can look perfectly healthy unless attacked again by the disease. GEOGRAPHICAL DISTRIBUTION: Europe (Britain, Denmark, France, Germany, Poland, Spain, Sweden (fide Gaumann (1923) but no specimen seen by Gustavsson (1959)), Yugoslavia. TRANSMISSION: No reports. Contaminated seed was not thought to be the source of the attack reported by Kirchner (1892) on seedlings raised from seed from the local botanic garden where the disease was not present nor did it subsequently appear. Oospores form in considerable numbers in the withered leaves and must form a potential source of infection on fallen debris in the soil. However the sporadic outbreaks of the disease suggests that the fungus may perhaps exist on other hosts such as Robinia pseudacacia or be present in small and undetected quantities on older laburnum plants in most seasons and only cause severe infection, and thus attract attention, when weather conditions favour its rapid development."
1323	G. Seljak	"Phyllonorycter robiniella, a new leaf miner of robinia in Slovenia"	"Phyllonorycter robiniella, new to Slovenia, was found on Robinia pseudoacacia near Nova Gorica in late spring 1994."
712	"G. Gao, W. Xin, Y. Zheng, T. Gao, J. Qi, W. Zhang and Z. Wen"	Identification and biological characteristics of locust heartwood rot fungi	"Heartwood rot fungus (P1) of Robinia pseudoacacia in Shenyang was identified by morphological and molecular biological methods. And the effects of temperature, pH value, light, and carbon and nitrogen resources on mycelium growth and colony morphology were studied by growth rate method. Results showed that P1 was identified as Perenniporia robiniophil (Murr.) Ryv. The optimum temperature for the mycelium growth was 20-25 degrees C, and the optimum pH value was within the range of 5-6. Illumination had no obvious effect on mycelium growth. The mycelium grew best on media with cane sugar as carbon source or yeast extract as nitrogen resources."
915	F. W. M. R. Schwarze	Part 13: ash tree fungus	The geographical distribution of Perenniporia fraxinea is described. Its decaying effect on wood of Robinia pseudoacacia is outlined.
1138	T. DeGomez and M. R. Wagner	Culture and use of black locust	"Robinia L. (locust) species are among the most widely planted tree species in the world because they are ornamentally attractive, drought tolerant, fast growing, fix nitrogen, have very hard durable wood, an are adaptable to many sites and climates. Recent taxonomic analysis indicates there are four species, black locust (R. pseudoacacia L.); bristly locust (R. hispida L.); clammy locust (R. viscosa Vent.); and new mexican locust (R. neomexicana A. Gray). All four species originate in the southern United States and northern Mexico. Man), horticultural cultivars are available. Locusts are tolerant of a wide range of soil types so long as there is good drainage, adequate moisture, and[ it is not very clayey. The environmental tolerance of locust makes it an excellent candidate for horticultural uses and for future breeding and selection to enhance its many desirable traits. It is easy to propagate via seed, root cuttings, soft- or hardwood cuttings, budding/grafting, or tissue culture. Locust has indeterminate growth. Spacing of plants in plantations is critical for the production of multiple products including high value timber. Locust is known for its ability to withstand drought conditions however at the cost of leaf shedding. Black locust contributes high levels of nitrogen to the soil from nitrogen fixing bacterial symbiosis. The major drawback to large-scale production of black locust in its native range is the damage that occurs from the locust borer (Megacyllene robiniae Forster). When planted outside the range of the locust borer it can be grown successfully as landscape specimen trees and as trees large enough for lumber production when varieties with straight trunks are grown. Damage from locust leaf miner (Odontata dorsalis Thunberg) can greatly detract from the trees ornamental qualities. Its most common use is as a site reclamation species. The tree is also used in honey production. The wood is highly decay resistant and is greatly valued for poles and posts. The wood is extremely hard and easy to work making it highly desirable for many construction uses."
1231	S. Sen	Seed mycoflora of Robinia pseudoacacia Linn. and its control	"Eight fungal species Alternaria alternata, Cladosporium sp., Fusarium equiseti, F. oxysporum, F. semitectum, Penicillium chrysogenum, Rhizopus spp. and Ulocladium consortiale were found associated with seeds of Robinia pseudoacacia (Linn.). However, species of Fusarium were found the most predominant ones, and were invariably isolated from seeds samples collected from Bajaura, Manali and Sharbo area of H.P. Amongst the various fungi, Fusarium species and Alternaria alternata were found pathogenic and caused significant reduction in seedling stand. Mercuric chloride (0.1), Baycor (0.25%) and Blitox 50 (0.3%) provided best control of associated mycoflora."
