,entity,kingdom,item_id,entity_id,PLPE,PLSP,PLDI,PAOR,TASP,LOCA,PREV,YEAR,ANME,length,n_occurr,in_first_100,sentiment,n_tokens,vector_norm,token_i,any_digits,all_digits,any_like_num,any_title,any_oov,any_propn,any_verb,any_nsubj,any_dobj,any_compound,eppo_n_results,eppo_code,eppo_type,is_preferred,lang,active,taxonomy,n_categ,n_distrib,n_pests,n_hosts,cat_n_results,is_accepted,is_extinct
26,female sand flies,animal,0,27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,1,0,0.0,3,18.232105255126953,98,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
27,polymerase chain reaction,animal,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,2,0,0.0,3,22.63141632080078,103,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
28,kdna,animal,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0.0,1,24.348955154418945,107,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,,
29,its1-rdna,animal,0,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,2,0,0.0,1,23.467885971069336,109,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,,
30,restriction fragment length polymorphisms,animal,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,1,0,0.0,4,18.259380340576172,113,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
31,80 phlebotomus tobbi,animal,0,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20,1,0,0.0,3,16.645427703857422,122,1,0,1,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
32,1.25%,animal,0,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,2,21.84929656982422,126,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
33,leishmania,animal,0,34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,1,1,0.0,1,27.32319450378418,132,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,3,1.0,0.0
34,infantum parasites,animal,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,0,0.0,2,19.17987823486328,133,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
35,conclusions,animal,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0,0.0,1,23.63265419006348,136,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
36,our finding,animal,0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0,0.0,2,19.32052993774414,138,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,0,,
37,phlebotomus tobbi,animal,0,38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,2,1,0.0,2,19.10037612915039,142,0,0,0,1,1,1,0,1,0,1,0,,,,,,,,,,,1,1.0,0.0
38,a vector,animal,0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0,0.0,2,20.015777587890625,147,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
39,the parasite,animal,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,0.0,2,20.509136199951172,151,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
40,leishmania infantum,animal,0,41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,1,1,0.0,2,19.99502182006836,154,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
41,â,animal,0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,1,23.837974548339844,162,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
42,2012,animal,0,43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0,0.0,1,24.56706047058105,42,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
43,two,animal,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,1,26.69079780578613,69,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
44,8,animal,0,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0.0,1,27.07858657836914,82,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
45,51.1,animal,0,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0,0.0,1,27.23117828369141,86,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
46,32.9,animal,0,47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0,0.0,1,27.667510986328125,89,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
47,160,animal,0,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,0,0.0,1,25.077131271362305,95,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
48,1,animal,0,49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0.0,1,25.10177803039551,119,1,1,1,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
49,80,animal,0,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,0,0.0,1,26.1807804107666,122,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
50,1.25,animal,0,51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0,0.0,1,30.0095157623291,126,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
51,non-healing old world cutaneous leishmaniasis,animal,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45,1,1,0.0,7,17.245336532592773,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
52,a patient,animal,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,1,1,0.0,2,20.90658187866211,12,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
53,spain | background,animal,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18,1,0,0.0,3,18.99540901184082,15,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
54,the prevalence,animal,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0,0.0,2,20.446733474731445,19,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,0,,
55,old world cutaneous leishmaniasis,animal,1,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33,1,1,0.0,4,19.805721282958984,22,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
56,the mediterranean region,animal,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,0,0.0,3,19.46494483947754,27,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
57,southern europe,animal,1,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15,1,0,0.0,2,24.261505126953125,34,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,1,0.0,
58,leishmania infantum,animal,1,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,1,0,0.0,2,21.620525360107425,39,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
59,spontaneous healing,animal,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,0,0.0,2,18.88190460205078,42,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
60,cutaneous leishmaniasis,animal,1,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23,3,1,0.0,2,21.810338973999023,45,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
61,l. major,animal,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0,0.0,2,20.582935333251953,55,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
62,l. infantum associated lesions,animal,1,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30,1,0,0.0,4,16.75594711303711,59,0,0,0,1,1,1,1,1,0,1,0,,,,,,,,,,,0,,
63,longer disease duration,animal,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,0,0.0,3,17.663658142089844,67,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
64,decreased tendency,animal,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,0,0.0,2,17.785017013549805,71,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,0,,
65,self-limitation,animal,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,0,0.0,3,17.471124649047848,74,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
66,available information,animal,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0,0.0,2,20.231443405151367,80,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
67,case presentation,animal,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,0,0.0,2,22.061872482299805,85,0,0,0,1,1,0,0,0,0,1,0,,,,,,,,,,,0,,
68,we,animal,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,1,24.252748489379886,88,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,0,,
69,the case,animal,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0,0.0,2,21.55357360839844,90,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
70,an otherwise healthy woman,animal,1,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26,1,0,0.0,4,15.255826950073242,93,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
71,southern spain,animal,1,21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,1,0,0.0,2,22.75453758239746,98,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
72,who,animal,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,1,28.412168502807614,100,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
73,"a seven years persistent, non-healing, painless, central ulcerated, nodular cutaneous lesion",animal,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,1,0,0.0,17,12.736307144165039,103,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
74,a diameter,animal,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0,0.0,2,21.10312843322754,121,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
75,2 cm,animal,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0.0,2,18.1256046295166,124,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
76,the forearm,animal,1,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0,0.0,2,19.08725929260254,127,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
77,cutaneous leishmaniasis,animal,1,27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23,3,1,0.0,2,21.461992263793945,130,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
78,smear,animal,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0.0,1,24.46940422058105,135,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,1,0.0,
79,histology,animal,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0,0.0,1,23.274812698364254,137,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
80,large amounts,animal,1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0,0.0,2,19.41946029663086,140,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
81,leishmania amastigotes,animal,1,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22,1,0,0.0,2,18.310226440429688,143,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
82,subepidermal histiocytes,animal,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,0,0.0,2,19.11570930480957,146,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
83,extensive lymphocyte,animal,1,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,0,0.0,2,17.30607032775879,149,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
84,plasma cell inflammation,animal,1,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,0,0.0,3,21.787260055541992,152,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
85,the causative pathogen,animal,1,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,0,0.0,3,17.978899002075195,159,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
86,restriction fragment length polymorphism,animal,1,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1,0,0.0,4,19.730243682861328,165,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
87,microsatellite-pcr,animal,1,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,1,0,0.0,3,16.58681869506836,170,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,,
88,systemic or visceral involvement,animal,1,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1,0,0.0,4,17.809688568115234,174,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
89,negative leishmania serology,animal,1,39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28,1,0,0.0,3,20.626806259155273,181,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
90,clinical presentation,animal,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0,0.0,2,21.302719116210934,185,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
91,relevant concomitant diseases,animal,1,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,0,0.0,3,16.308639526367188,188,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
92,immunosuppression,animal,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,0,0.0,1,26.389535903930664,192,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
93,quantification,animal,1,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0,0.0,1,27.212438583374023,196,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
94,immunoglobulin levels,animal,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0,0.0,2,18.91267967224121,198,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
95,lymphocyte,animal,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0,0.0,1,24.27281188964844,201,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
96,phenotyping,animal,1,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0,0.0,1,25.27910804748535,202,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
97,topical and systemic anti-infectious treatment options,animal,1,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,1,0,0.0,8,14.73449420928955,204,0,0,0,1,1,0,0,1,0,1,0,,,,,,,,,,,0,,
98,terms,animal,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0.0,1,28.872966766357425,216,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
99,efficacy,animal,1,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0,0.0,1,25.27131271362305,218,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
100,tolerability,animal,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,0.0,1,24.00333976745605,220,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
101,long lasting treatment duration,animal,1,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1,0,0.0,4,17.291749954223633,222,0,0,0,0,1,0,1,0,0,1,0,,,,,,,,,,,0,,
102,treatment,animal,1,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0,0.0,1,29.62754249572754,230,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
103,surgical extraction,animal,1,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,0,0.0,2,21.447017669677734,235,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
104,local anaesthesia,animal,1,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,0,0.0,2,18.908729553222656,238,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
105,conclusion,animal,1,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0,0.0,1,24.10657501220703,242,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
106,our knowledge,animal,1,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0,0.0,2,18.6064395904541,245,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
107,the longest reported duration,animal,1,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,0,0.0,4,15.630682945251465,249,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,0,,
108,a l. infantum,animal,1,58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13,1,0,0.0,3,17.82761001586914,254,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
109,cutaneous leishmaniasis,animal,1,59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23,3,1,0.0,2,22.74077224731445,258,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
110,a potential long lasting natural evolution,animal,1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,1,0,0.0,6,16.403507232666016,261,0,0,0,0,1,0,1,0,1,0,0,,,,,,,,,,,0,,
111,the disease,animal,1,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0,0.0,2,19.334455490112305,268,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
112,an otherwise healthy and immunocompetent patient,animal,1,62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,1,0,0.0,6,14.3635835647583,271,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
113,high parasite density,animal,1,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0,0.0,3,20.28602409362793,280,0,0,0,0,1,0,0,1,0,1,0,,,,,,,,,,,0,,
114,a lack,animal,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0,0.0,2,20.36341094970703,286,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
115,a l. infantum specific immune response,animal,1,65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38,1,0,0.0,6,15.254965782165527,289,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,0,,
116,complete surgical extraction,animal,1,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,0,0.0,3,19.402124404907227,296,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
117,treatment,animal,1,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0,0.0,1,26.78315544128418,304,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
118,â,animal,1,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,1,23.20637321472168,306,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
119,seven,animal,1,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0.0,1,27.51996994018555,104,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
120,2,animal,1,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,1,23.196611404418945,124,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
121,incidence,animal,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,1,0.0,1,25.793445587158203,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
